names.title.4,names.first.4,names.last.4,names.subtitle.4,names.nickname.4
BD,A,2,DROID,
BX,B,3,BOT,
WAL,C,4,SERIES,
HAL,D,5,Rusty,
VAL,E,6,Bucket,
AP,F,7,Sparky,
ED,G,8,Gasket,
QT,H,9,Rivet,
KT,K,0,Data,
PD,L,3000,Banks,
MD,M,5000,Bits,
AD,M,9000,Clank,
BB,O,42,Chap,
RD,P,37,Bolt,
RC,Q,424,Clasp,
RV,R,74,Booster,
TEL,S,B1,Belts,
TAC,T,B2,Spade,
VAC,U,B3,,
PO,V,B4,,
CI,W,B5,,
COL,X,1000,,
BAL,R2,100,,
ROT,R3,300,,
,R4,200,,
,R5,500,,
,D1,900,,
,D2,800,,
,D3,80,,
,D4,90,,
,D5,60,,
,T,EX,,
,BD,ZYZ,,
,BX,,,
,WAL,,,
,HAL,,,
,VAL,,,
,AP,,,
,ED,,,
,QT,,,
,KT,,,
,PD,,,
,MD,,,
,AD,,,
,BB,,,
,RD,,,
,RC,,,
,RV,,,
,TEL,,,
,TAC,,,
,VAC,,,
