names.title.save,names.first.save,names.last.save,names.subtitle.save,names.nickname.save
The,Alpha,Sagittarius,Galaxy,
Outer,Beta,Centauri,Rim,
Inner,Gamma,Andromeda,Systems,
,Delta,Antila,Major,
,Epsilon,Apus,Minor,
,Digamma,Aquarius,Ring,
,Zeta,Aquila,Halo,
,Eta,Ara,I,
,Theta,Aries,II,
,Iota,Auriga,III,
,Kappa,Caelum,IV,
,Lambda,Cancer,V,
,Mu,Venatici,VI,
,Proxima,Capricorn,VII,
,Carina,Cetus,VIII,
,Serpens,Cassiopeia,IX,
,Corona,Canis,X,
,Canes,Cepheus,Way,
,Coma,Columba,Clouds,
,Crater,Berenices,Shifts,
,Hydra,Australis,Edge,
,Lynx,Borealis,Drifts,
,Piscis,Corvus,Object,
,Argo,Crux,Quasar,
,Machina,Cygnus,,
,Gloria,Dorado,,
,Honores,Draco,,
,Mons,Eridanus,,
,Musca,Fornax,,
,Pavo,Gemini,,
,Omega,Grus,,
,Blinking,Hercules,,
,Helix,Horologium,,
,Little,Hydrus,,
,Grand,Indus,,
,Small,Lacerta,,
,Great,Leo,,
,Milky,Lepus,,
,,Libra,,
,,Lupus,,
,,Lyra,,
,,Mensa,,
,,Musca,,
,,Norma,,
,,Octans,,
,,Orion,,
,,Xiphias,,
,,Pegasus,,
,,Persus,,
,,Phoenix,,
,,Pictor,,
,,Pices,,
,,Austrinus,,
,,Pyxis,,
,,Scorpius,,
,,Serpens,,
,,Taurus,,
,,Tucana,,
,,Ursa,,
,,Vela,,
,,Virgo,,
,,Volans,,
,,Navis,,
,,Anser,,
,,Asterion,,
,,Bufo,,
,,Cerberus,,
,,Felis,,
,,Gallus,,
,,Malus,,
,,Manis,,
,,Noctua,,
,,Patella,,
,,Solarium,,
,,Vespa,,
,,Tigris,,
,,Apis,,
,,Hyperion,,
,,Whirlpool,,
,,Black,,
,,Eye,,
,,Spiral,,
,,Wheel,,
,,Cocoon,,
,,Starburst,,
